Id,country,IQ,education_expenditure
1,Hong Kong ,106,1283
2,Japan,106,1340
3,Singapore,106,1428
4,Taiwan ,106,
5,China,104,183
6,South Korea,103,1024
7,Netherlands,101,2386
8,Finland,101,2725
9,Canada,100,2052
10,North Korea,100,
11,Luxembourg,100,3665
12,Macao ,100,1448
13,Germany,100,1883
14,Switzerland,100,3550
15,Estonia,100,749
16,Australia,99,2343
17,United Kingdom,99,2076
18,Greenland ,99,4518
19,Iceland,99,3812
20,Austria,99,2341
21,Hungary,99,585
22,New Zealand,99,2083
23,Belgium,98,2507
24,Norway,98,5436
25,Sweden,98,3419
26,Denmark,98,4133
27,Cambodia,97,16
28,France,97,2042
29,United States,97,2608
30,Poland,96,545
31,Czechia,96,712
32,Russia,96,338
33,Spain,95,1176
34,Ireland,95,2500
35,Italy,95,1380
36,Croatia,95,505
37,Lithuania,95,550
38,Israel,93,1811
39,Mongolia,93,153
40,Portugal,93,1005
41,Bermuda ,92,1748
42,Bulgaria,91,224
43,Greece,91,781
44,Ukraine,91,143
45,Vietnam,91,76
46,Kazakhstan,89,225
47,Malaysia,89,450
48,Myanmar,89,14
49,Thailand,89,182
50,Serbia,89,208
51,Brunei,88,1020
52,Chile,88,482
53,Costa Rica,88,487
54,Iraq,88,193
55,Romania,88,249
56,Argentina,87,454
57,Mauritius,87,310
58,Mexico,87,437
59,Turkey,87,334
60,Georgia,86,84
61,Sri Lanka,85,55
62,Montenegro,85,
63,Cuba,84,395
64,Brazil,83,427
65,Philippines,83,67
66,Colombia,83,231
67,Laos,83,32
68,Venezuela,83,273
69,Albania,82,118
70,United Arab Emirates,82,805
71,Dominican Republic,82,158
72,Puerto Rico ,82,1174
73,Afghanistan,81,15
74,Iran,81,176
75,Pakistan,81,27
76,Indonesia,80,79
77,Kuwait,80,1990
78,Oman,80,798
79,Qatar,80,2331
80,Bolivia,79,156
81,Ecuador,79,199
82,Egypt,78,92
83,Algeria,77,253
84,India,77,47
85,Saudi Arabia,77,1265
86,Sudan,77,25
87,Syria,76,252
88,Bangladesh,75,20
89,Chad,75,16
90,East Timor,74,54
91,Kenya,74,62
92,Zimbabwe,74,50
93,El Salvador,72,113
94,Morocco,71,144
95,South Africa,69,336
96,Niger,69,15
97,Somalia,69,1
98,Nigeria,68,
99,Ethiopia,67,21
100,Cameroon,67,36
101,Congo,64,7
102,Ghana,61,76
103,Ivory Coast,61,69
104,Equatorial Guinea,56,
105,Gambia,55,14
106,Guatemala,55,92
107,Sierra Leone,52,16
108,Nepal,51,22
