,Id,country,IQ,education_expenditure,avg_income,avg_temp,IQ_Level
27,28,France,97,2042.0,37610.0,16.8,3
47,48,Myanmar,89,14.0,660.0,32.2,2
102,103,Ivory Coast,61,69.0,1289.0,32.2,1
54,55,Romania,88,249.0,7109.0,16.0,2
0,1,Hong Kong ,106,1283.0,35304.0,26.2,3
84,85,Saudi Arabia,77,1265.0,17468.0,32.7,2
90,91,Kenya,74,62.0,939.0,27.4,2
96,97,Somalia,69,1.0,396.0,33.2,1
1,2,Japan,106,1340.0,40964.0,19.2,3
92,93,El Salvador,72,113.0,2912.0,31.2,2
97,98,Nigeria,68,903.0582524271845,1752.0,33.3,1
33,34,Ireland,95,2500.0,43903.0,13.2,3
76,77,Kuwait,80,1990.0,37088.0,34.3,2
23,24,Norway,98,5436.0,75130.0,9.1,3
41,42,Bulgaria,91,224.0,5703.0,18.1,3
46,47,Malaysia,89,450.0,7665.0,32.0,2
66,67,Laos,83,32.0,1157.0,32.1,2
38,39,Mongolia,93,153.0,2241.0,8.1,3
50,51,Brunei,88,1020.0,29737.0,31.7,2
71,72,Puerto Rico ,82,1174.0,16583.0,30.4,2
5,6,South Korea,103,1024.0,22805.0,18.2,3
25,26,Denmark,98,4133.0,53149.0,12.5,3
37,38,Israel,93,1811.0,29009.0,25.4,3
11,12,Macao ,100,1448.0,44072.0,26.1,3
32,33,Spain,95,1176.0,26463.0,21.1,3
58,59,Turkey,87,334.0,8840.0,20.5,2
24,25,Sweden,98,3419.0,49535.0,9.9,3
82,83,Algeria,77,253.0,3684.0,26.5,2
56,57,Mauritius,87,310.0,7812.0,26.8,2
83,84,India,77,47.0,1163.0,31.7,2
36,37,Lithuania,95,550.0,11330.0,11.6,3
9,10,North Korea,100,903.0582524271845,17174.650943396227,15.3,3
88,89,Chad,75,16.0,630.0,35.6,2
67,68,Venezuela,83,273.0,8025.0,32.1,2
10,11,Luxembourg,100,3665.0,71296.0,14.7,3
57,58,Mexico,87,437.0,8845.0,29.8,2
30,31,Czechia,96,712.0,15552.0,12.8,3
18,19,Iceland,99,3812.0,47106.0,8.1,3
79,80,Bolivia,79,156.0,1912.0,27.6,2
61,62,Montenegro,85,903.0582524271845,6056.0,21.1,2
69,70,United Arab Emirates,82,805.0,38644.0,34.4,2
65,66,Colombia,83,231.0,5037.0,30.3,2
42,43,Greece,91,781.0,21101.0,22.3,3
39,40,Portugal,93,1005.0,19253.0,21.5,3
107,108,Nepal,51,22.0,595.0,24.6,1
93,94,Morocco,71,144.0,2567.0,24.1,2
91,92,Zimbabwe,74,50.0,843.0,27.1,2
7,8,Finland,101,2725.0,42706.0,8.2,3
78,79,Qatar,80,2331.0,58617.0,33.7,2
43,44,Ukraine,91,143.0,2375.0,14.6,3
101,102,Ghana,61,76.0,1166.0,32.1,1
29,30,Poland,96,545.0,10505.0,13.4,3
87,88,Bangladesh,75,20.0,936.0,29.9,2
45,46,Kazakhstan,89,225.0,6380.0,13.5,2
44,45,Vietnam,91,76.0,1446.0,28.9,3
14,15,Estonia,100,749.0,13770.0,10.1,3
105,106,Guatemala,55,92.0,2830.0,32.1,1
64,65,Philippines,83,67.0,2330.0,31.9,2
70,71,Dominican Republic,82,158.0,4964.0,31.7,2
12,13,Germany,100,1883.0,39911.0,13.8,3
17,18,Greenland ,99,4518.0,24486.0,0.4,3
81,82,Egypt,78,92.0,2175.0,30.1,2
21,22,New Zealand,99,2083.0,30141.0,17.4,3
77,78,Oman,80,798.0,15328.0,33.8,2
73,74,Iran,81,176.0,4545.0,26.6,2
22,23,Belgium,98,2507.0,40526.0,14.8,3
53,54,Iraq,88,193.0,3757.0,32.3,2
75,76,Indonesia,80,79.0,2355.0,31.6,2
86,87,Syria,76,252.0,4532.0,25.3,2
55,56,Argentina,87,454.0,8795.0,24.4,2
26,27,Cambodia,97,16.0,776.0,33.1,3
40,41,Bermuda ,92,1748.0,108349.0,24.6,3
63,64,Brazil,83,427.0,7586.0,30.6,2
62,63,Cuba,84,395.0,5538.0,30.0,2
6,7,Netherlands,101,2386.0,45337.0,14.4,3
8,9,Canada,100,2052.0,40207.0,7.4,3
95,96,Niger,69,15.0,434.0,36.5,1
15,16,Australia,99,2343.0,42948.0,24.3,3
98,99,Ethiopia,67,21.0,379.0,27.2,1
48,49,Thailand,89,182.0,4260.0,33.0,2
35,36,Croatia,95,505.0,11642.0,18.1,3
104,105,Gambia,55,14.0,648.0,32.9,1
49,50,Serbia,89,208.0,4876.0,18.3,2
34,35,Italy,95,1380.0,32104.0,17.8,3
60,61,Sri Lanka,85,55.0,2442.0,29.7,2
59,60,Georgia,86,84.0,2901.0,20.1,2
31,32,Russia,96,338.0,8241.0,9.5,3
19,20,Austria,99,2341.0,42635.0,13.2,3
13,14,Switzerland,100,3550.0,70399.0,15.2,3
51,52,Chile,88,482.0,10195.0,18.5,2
52,53,Costa Rica,88,487.0,7480.0,28.6,2
20,21,Hungary,99,585.0,11391.0,16.6,3
103,104,Equatorial Guinea,56,903.0582524271845,7625.0,29.9,1
4,5,China,104,183.0,4654.0,19.1,3
94,95,South Africa,69,336.0,5941.0,24.7,1
2,3,Singapore,106,1428.0,41100.0,31.5,3
16,17,United Kingdom,99,2076.0,40698.0,12.9,3
72,73,Afghanistan,81,15.0,474.0,24.4,2
80,81,Ecuador,79,199.0,4159.0,25.6,2
68,69,Albania,82,118.0,3513.0,21.4,2
85,86,Sudan,77,25.0,1168.0,36.5,2
106,107,Sierra Leone,52,16.0,412.0,30.4,1
99,100,Cameroon,67,36.0,1234.0,31.1,1
28,29,United States,97,2608.0,49883.0,18.8,3
3,4,Taiwan ,106,903.0582524271845,17174.650943396227,26.9,3
100,101,Congo,64,7.0,316.0,30.4,1
74,75,Pakistan,81,27.0,985.0,30.9,2
89,90,East Timor,74,54.0,2073.0,30.9,2
